Frame,nose_x_world,nose_y_world,nose_z_world,nose_visibility,left_eye_inner_x_world,left_eye_inner_y_world,left_eye_inner_z_world,left_eye_inner_visibility,left_eye_x_world,left_eye_y_world,left_eye_z_world,left_eye_visibility,left_eye_outer_x_world,left_eye_outer_y_world,left_eye_outer_z_world,left_eye_outer_visibility,right_eye_inner_x_world,right_eye_inner_y_world,right_eye_inner_z_world,right_eye_inner_visibility,right_eye_x_world,right_eye_y_world,right_eye_z_world,right_eye_visibility,right_eye_outer_x_world,right_eye_outer_y_world,right_eye_outer_z_world,right_eye_outer_visibility,left_ear_x_world,left_ear_y_world,left_ear_z_world,left_ear_visibility,right_ear_x_world,right_ear_y_world,right_ear_z_world,right_ear_visibility,mouth_left_x_world,mouth_left_y_world,mouth_left_z_world,mouth_left_visibility,mouth_right_x_world,mouth_right_y_world,mouth_right_z_world,mouth_right_visibility,left_shoulder_x_world,left_shoulder_y_world,left_shoulder_z_world,left_shoulder_visibility,right_shoulder_x_world,right_shoulder_y_world,right_shoulder_z_world,right_shoulder_visibility,left_elbow_x_world,left_elbow_y_world,left_elbow_z_world,left_elbow_visibility,right_elbow_x_world,right_elbow_y_world,right_elbow_z_world,right_elbow_visibility,left_wrist_x_world,left_wrist_y_world,left_wrist_z_world,left_wrist_visibility,right_wrist_x_world,right_wrist_y_world,right_wrist_z_world,right_wrist_visibility,left_pinky_x_world,left_pinky_y_world,left_pinky_z_world,left_pinky_visibility,right_pinky_x_world,right_pinky_y_world,right_pinky_z_world,right_pinky_visibility,left_index_x_world,left_index_y_world,left_index_z_world,left_index_visibility,right_index_x_world,right_index_y_world,right_index_z_world,right_index_visibility,left_thumb_x_world,left_thumb_y_world,left_thumb_z_world,left_thumb_visibility,right_thumb_x_world,right_thumb_y_world,right_thumb_z_world,right_thumb_visibility,left_hip_x_world,left_hip_y_world,left_hip_z_world,left_hip_visibility,right_hip_x_world,right_hip_y_world,right_hip_z_world,right_hip_visibility,left_knee_x_world,left_knee_y_world,left_knee_z_world,left_knee_visibility,right_knee_x_world,right_knee_y_world,right_knee_z_world,right_knee_visibility,left_ankle_x_world,left_ankle_y_world,left_ankle_z_world,left_ankle_visibility,right_ankle_x_world,right_ankle_y_world,right_ankle_z_world,right_ankle_visibility,left_heel_x_world,left_heel_y_world,left_heel_z_world,left_heel_visibility,right_heel_x_world,right_heel_y_world,right_heel_z_world,right_heel_visibility,left_foot_index_x_world,left_foot_index_y_world,left_foot_index_z_world,left_foot_index_visibility,right_foot_index_x_world,right_foot_index_y_world,right_foot_index_z_world,right_foot_index_visibility
120,0.13074107468128204,-0.5581929087638855,-0.25851017236709595,0.9982578158378601,0.1304546445608139,-0.6005102396011353,-0.24360772967338562,0.9981901049613953,0.1310001164674759,-0.6008374094963074,-0.24294432997703552,0.9978333115577698,0.13082554936408997,-0.6013050675392151,-0.24354182183742523,0.9980965256690979,0.0984632596373558,-0.5996736288070679,-0.2564130127429962,0.998464822769165,0.09894047677516937,-0.6000581383705139,-0.2574971914291382,0.9979748129844666,0.09873677045106888,-0.6014321446418762,-0.2572205066680908,0.9982947707176208,0.14384831488132477,-0.6057941317558289,-0.12258664518594742,0.996449887752533,-0.00516348285600543,-0.6062093377113342,-0.2087290734052658,0.9973635077476501,0.14128315448760986,-0.5401226282119751,-0.21165622770786285,0.997991144657135,0.09681183099746704,-0.5383718013763428,-0.23038911819458008,0.9986216425895691,0.17851512134075165,-0.4757765531539917,-0.010116814635694027,0.9988512992858887,-0.08678783476352692,-0.464082270860672,-0.18599475920200348,0.998811662197113,0.21813857555389404,-0.32264965772628784,-0.04729440435767174,0.14385554194450378,-0.1529821753501892,-0.2728823125362396,-0.24652442336082458,0.954182505607605,0.29895317554473877,-0.23583342134952545,-0.26801496744155884,0.15292449295520782,0.09382501244544983,-0.184401735663414,-0.32297655940055847,0.9417906403541565,0.3227002024650574,-0.19515188038349152,-0.31304067373275757,0.16070517897605896,0.1657874882221222,-0.14479956030845642,-0.34367480874061584,0.9252185821533203,0.314841091632843,-0.21507275104522705,-0.33295175433158875,0.16791008412837982,0.20358017086982727,-0.19453923404216766,-0.340311199426651,0.9247043132781982,0.30290794372558594,-0.2315325140953064,-0.28025180101394653,0.168974831700325,0.12582530081272125,-0.1928601711988449,-0.32020315527915955,0.8799232244491577,0.08032263070344925,-0.007683617528527975,0.06120486557483673,0.9887365102767944,-0.08039441704750061,0.006651232950389385,-0.05943822115659714,0.9853896498680115,0.19384486973285675,0.13294698297977448,0.05868355557322502,0.2668728232383728,0.06731010973453522,0.18691734969615936,0.014856120571494102,0.8631541728973389,0.16964994370937347,0.37473711371421814,0.1746101677417755,0.3414705693721771,0.006156788673251867,0.4515725374221802,0.21499256789684296,0.7618012428283691,0.17270711064338684,0.4073615074157715,0.18277812004089355,0.48331892490386963,-0.0033520120196044445,0.4878275394439697,0.23346838355064392,0.7694689035415649,0.21096520125865936,0.4580736458301544,0.11666466295719147,0.4598754644393921,0.038325775414705276,0.5546562075614929,0.1706019937992096,0.757770299911499
150,-0.028001470491290092,-0.47883912920951843,-0.41022220253944397,0.9969271421432495,-0.03386377543210983,-0.5306718349456787,-0.4104442298412323,0.9955757260322571,-0.03340238332748413,-0.5305942296981812,-0.41016530990600586,0.9948990345001221,-0.03347928076982498,-0.5311846137046814,-0.41061148047447205,0.9956237077713013,-0.06545733660459518,-0.5112287402153015,-0.4054671823978424,0.9953854084014893,-0.0651644691824913,-0.5111777782440186,-0.4067346751689911,0.9931997656822205,-0.0655769631266594,-0.5126106142997742,-0.406023770570755,0.9939870238304138,0.03228982910513878,-0.5820131897926331,-0.31071192026138306,0.9927334189414978,-0.11565937101840973,-0.526881217956543,-0.28515079617500305,0.9909189939498901,0.011653484776616096,-0.4998140335083008,-0.3663824200630188,0.9969053864479065,-0.03317883983254433,-0.4699636399745941,-0.35781943798065186,0.9967237114906311,0.1759244203567505,-0.4641212821006775,-0.17265470325946808,0.9989525675773621,-0.14428594708442688,-0.4198656678199768,-0.19467279314994812,0.9988356828689575,0.29902344942092896,-0.31142792105674744,-0.19315747916698456,0.22731079161167145,-0.1798335760831833,-0.25188469886779785,-0.24454174935817719,0.9509410858154297,0.3924310505390167,-0.2163730412721634,-0.385874480009079,0.23360972106456757,-0.029626389965415,-0.12140128016471863,-0.38512662053108215,0.9418611526489258,0.4221905469894409,-0.1622045338153839,-0.4368925094604492,0.23631975054740906,0.00929649081081152,-0.0836968943476677,-0.4255378842353821,0.9216223359107971,0.39436450600624084,-0.15562093257904053,-0.4589182138442993,0.24455450475215912,0.0386759415268898,-0.12418511509895325,-0.43301922082901,0.9216093420982361,0.384331613779068,-0.19120700657367706,-0.3992235064506531,0.2448713183403015,-0.005532430950552225,-0.12525434792041779,-0.3916647136211395,0.8776187896728516,0.09058254957199097,-0.001356881344690919,0.004834206774830818,0.9883905053138733,-0.0906001552939415,0.00025377870770171285,-0.0035070183221250772,0.9843085408210754,0.11018988490104675,0.19982632994651794,0.10036970674991608,0.2501465678215027,-0.057328708469867706,0.2670663893222809,0.19700536131858826,0.7830401062965393,0.11648079007863998,0.4337397515773773,0.3280779719352722,0.3100512623786926,-0.057462748140096664,0.5056270360946655,0.4652971923351288,0.6882326602935791,0.12225735932588577,0.4649566113948822,0.348049134016037,0.44141021370887756,-0.05889977514743805,0.5392240285873413,0.4908455014228821,0.7010172605514526,0.1308516412973404,0.5155140161514282,0.2546331584453583,0.41924425959587097,-0.08452935516834259,0.601995587348938,0.40241461992263794,0.6870023608207703
180,0.08783333748579025,-0.5032306909561157,-0.305865615606308,0.9966538548469543,0.08480139821767807,-0.5498839020729065,-0.30007055401802063,0.9944313168525696,0.08519354462623596,-0.5509291887283325,-0.2993611991405487,0.9935295581817627,0.08502761274576187,-0.5509796142578125,-0.29985326528549194,0.9943090081214905,0.06208603084087372,-0.5452914834022522,-0.3136635720729828,0.994767427444458,0.06272178888320923,-0.5456209182739258,-0.31463688611984253,0.9925427436828613,0.06257499009370804,-0.5468956828117371,-0.31381967663764954,0.9932073354721069,0.0708809643983841,-0.5934737324714661,-0.22399578988552094,0.9914427399635315,-0.030642669647932053,-0.5800651907920837,-0.2696385979652405,0.9907028079032898,0.09019028395414352,-0.5079723596572876,-0.26898863911628723,0.9965789318084717,0.05566737800836563,-0.49902379512786865,-0.2864234447479248,0.9965953230857849,0.19254134595394135,-0.476042240858078,-0.12668170034885406,0.9989840388298035,-0.1258440613746643,-0.458936482667923,-0.18643952906131744,0.9987444281578064,0.3424379825592041,-0.3422797620296478,-0.05759924277663231,0.30304664373397827,-0.13015413284301758,-0.25943729281425476,-0.24869641661643982,0.953700065612793,0.5304397344589233,-0.23538076877593994,-0.2632932960987091,0.3093606233596802,0.05196963623166084,-0.13973233103752136,-0.36654898524284363,0.9453092813491821,0.5825093388557434,-0.1922011524438858,-0.41605064272880554,0.3100815713405609,0.09496971219778061,-0.08876756578683853,-0.4054805636405945,0.9244114756584167,0.5849442481994629,-0.19437609612941742,-0.33099281787872314,0.31794556975364685,0.12656299769878387,-0.12931209802627563,-0.41177013516426086,0.9246968030929565,0.5393893122673035,-0.22201956808567047,-0.3199210464954376,0.31844934821128845,0.07746034115552902,-0.1412777602672577,-0.37276744842529297,0.8837782144546509,0.09658375382423401,0.0026215764228254557,0.019028322771191597,0.9819865822792053,-0.0969349667429924,-0.003027917118743062,-0.017739931121468544,0.9764564633369446,0.054757438600063324,0.2856174409389496,0.09675337374210358,0.2450634241104126,-0.08489428460597992,0.311347097158432,0.0610818974673748,0.7210514545440674,-0.0113868098706007,0.5498034954071045,0.19329917430877686,0.2798619866371155,-0.1308733969926834,0.5642884373664856,0.24157433211803436,0.6204083561897278,-0.013409003615379333,0.5831453204154968,0.19907817244529724,0.39924484491348267,-0.14411918818950653,0.6003977060317993,0.2536817789077759,0.6331334114074707,-0.04051903262734413,0.6393136382102966,0.12052526324987411,0.3787291646003723,-0.15455026924610138,0.6086676120758057,0.14255839586257935,0.6195510625839233
210,0.07554291188716888,-0.49350085854530334,-0.3047342896461487,0.9968518018722534,0.08049467206001282,-0.5403974056243896,-0.29446467757225037,0.9946902394294739,0.08045876026153564,-0.5416167378425598,-0.29428306221961975,0.9937800765037537,0.07996159791946411,-0.5415432453155518,-0.2953196167945862,0.9945212006568909,0.05321544036269188,-0.5369749665260315,-0.30844929814338684,0.9950973987579346,0.0540274903178215,-0.5372378826141357,-0.3098832666873932,0.9930431246757507,0.05399201810359955,-0.5385611057281494,-0.3094049096107483,0.9936712384223938,0.08061029016971588,-0.5851397514343262,-0.18476001918315887,0.9918189644813538,-0.04715410992503166,-0.5738758444786072,-0.255717009305954,0.9914247989654541,0.07730737328529358,-0.49536699056625366,-0.2575923502445221,0.9967275857925415,0.038646817207336426,-0.48875531554222107,-0.2759869396686554,0.9968293309211731,0.18478769063949585,-0.4835355877876282,-0.07231669872999191,0.9990420937538147,-0.15050175786018372,-0.44667378067970276,-0.19047001004219055,0.9988005757331848,0.3054029643535614,-0.3535732626914978,-0.031085385009646416,0.3708626925945282,-0.15423768758773804,-0.23956851661205292,-0.2802954316139221,0.9575011134147644,0.46430522203445435,-0.23948460817337036,-0.19959203898906708,0.37775224447250366,0.05141381174325943,-0.15035445988178253,-0.41644608974456787,0.9496592283248901,0.507401168346405,-0.19650673866271973,-0.25287872552871704,0.3770849406719208,0.10243338346481323,-0.10054425150156021,-0.4542478024959564,0.9291558861732483,0.5088332891464233,-0.19422811269760132,-0.27640965580940247,0.38436707854270935,0.12904034554958344,-0.14935939013957977,-0.46039673686027527,0.9294677376747131,0.4724123179912567,-0.22553737461566925,-0.22445717453956604,0.38509470224380493,0.07842927426099777,-0.15565045177936554,-0.42246705293655396,0.8919840455055237,0.10027846693992615,0.0031694748904556036,0.02131836861371994,0.9783657193183899,-0.1006942018866539,-0.0032802673522382975,-0.020128708332777023,0.9740249514579773,0.04789290949702263,0.30108121037483215,0.08216910064220428,0.23637095093727112,-0.09972568601369858,0.32641544938087463,0.03030804544687271,0.663048505783081,-0.031087307259440422,0.563567578792572,0.2069237381219864,0.25238022208213806,-0.14947333931922913,0.5819242000579834,0.18160654604434967,0.5592464804649353,-0.03407517820596695,0.5962878465652466,0.21670259535312653,0.3604973554611206,-0.1649044007062912,0.6191988587379456,0.19199521839618683,0.5714502334594727,-0.08331934362649918,0.6694501042366028,0.11583693325519562,0.34195443987846375,-0.185036301612854,0.6372541785240173,0.06802089512348175,0.5587276816368103
240,0.10969121754169464,-0.49713248014450073,-0.2869030237197876,0.9968208074569702,0.11028306931257248,-0.5426446199417114,-0.2754991054534912,0.9944247007369995,0.1104937344789505,-0.5438785552978516,-0.2753652036190033,0.9933432340621948,0.11012845486402512,-0.5437976121902466,-0.27638712525367737,0.9940826296806335,0.08726715296506882,-0.5417956709861755,-0.29176998138427734,0.9951097369194031,0.08801964670419693,-0.5421976447105408,-0.293260782957077,0.9931440949440002,0.0879676416516304,-0.5433713793754578,-0.2929983139038086,0.9937949180603027,0.0816677063703537,-0.5827414393424988,-0.1642700582742691,0.9912625551223755,-0.01646803319454193,-0.5775079727172852,-0.24838599562644958,0.9918830394744873,0.10432341694831848,-0.4959729313850403,-0.2405087947845459,0.9966744780540466,0.07075271755456924,-0.49221858382225037,-0.26177674531936646,0.9969906210899353,0.18823860585689545,-0.47338560223579407,-0.0690467357635498,0.9990607500076294,-0.1275573968887329,-0.4470174312591553,-0.18650689721107483,0.9988390803337097,0.31383153796195984,-0.33000534772872925,0.035554565489292145,0.4306216835975647,-0.16596998274326324,-0.23363330960273743,-0.2588842213153839,0.9599977135658264,0.5043640732765198,-0.2244534194469452,-0.15275885164737701,0.4390213191509247,0.020208284258842468,-0.1486230045557022,-0.39657777547836304,0.9531233906745911,0.5558629631996155,-0.18657363951206207,-0.22454486787319183,0.43701598048210144,0.06839477270841599,-0.08390343934297562,-0.436699777841568,0.932774543762207,0.5609481930732727,-0.18893182277679443,-0.23184505105018616,0.4439430832862854,0.10140220075845718,-0.13836036622524261,-0.4337271749973297,0.9331880807876587,0.5157915353775024,-0.2138761430978775,-0.18903014063835144,0.4446905553340912,0.0490715429186821,-0.15182773768901825,-0.3995385468006134,0.8984339833259583,0.09871412068605423,0.002995704300701618,0.028285373002290726,0.9699081182479858,-0.09915262460708618,-0.003056962974369526,-0.027096373960375786,0.9684703350067139,0.06344474107027054,0.2963654398918152,0.1049700379371643,0.23001062870025635,-0.07806656509637833,0.3209826350212097,0.05099238082766533,0.6219531297683716,-0.009591100737452507,0.5576193332672119,0.2730456590652466,0.22812394797801971,-0.12273649871349335,0.5852423906326294,0.2234129011631012,0.5054807662963867,-0.009831003844738007,0.5921311378479004,0.27975204586982727,0.3263474106788635,-0.13376584649085999,0.6239328384399414,0.23227177560329437,0.5185629725456238,-0.016319064423441887,0.6540464162826538,0.1661352962255478,0.31003469228744507,-0.11468024551868439,0.623824954032898,0.09688305854797363,0.5054999589920044
270,0.12428061664104462,-0.4444535970687866,-0.4502842128276825,0.9965848326683044,0.12286496162414551,-0.4852255880832672,-0.4376416504383087,0.9940076470375061,0.12301136553287506,-0.48739293217658997,-0.43798497319221497,0.9916794300079346,0.12277064472436905,-0.4869142472743988,-0.43919435143470764,0.9932368993759155,0.10078629851341248,-0.48433607816696167,-0.4625733494758606,0.9950160980224609,0.10163970291614532,-0.48483049869537354,-0.4643844962120056,0.9928702712059021,0.10162529349327087,-0.4858374297618866,-0.46446308493614197,0.9937580823898315,0.08785734325647354,-0.5036012530326843,-0.32369372248649597,0.9897406697273254,-0.012014088220894337,-0.49531152844429016,-0.4337471127510071,0.9920340180397034,0.11560206860303879,-0.43794748187065125,-0.4069034457206726,0.9965799450874329,0.08381244540214539,-0.43304261565208435,-0.43666669726371765,0.9969911575317383,0.18437008559703827,-0.3994463086128235,-0.2403886467218399,0.9990774393081665,-0.14847078919410706,-0.3647250235080719,-0.36218026280403137,0.9987727403640747,0.37875452637672424,-0.303294837474823,-0.2223554104566574,0.4851348102092743,-0.24445247650146484,-0.1996290534734726,-0.42916449904441833,0.9578589200973511,0.6154001355171204,-0.17753976583480835,-0.3091484606266022,0.48717471957206726,-0.022295067086815834,-0.06957352161407471,-0.5721797347068787,0.9483616352081299,0.6724829077720642,-0.1410464197397232,-0.3354150652885437,0.4769676625728607,0.03766191378235817,-0.005262388382107019,-0.6214032769203186,0.925879716873169,0.6793033480644226,-0.1463768184185028,-0.3666515052318573,0.4862384796142578,0.09582845866680145,-0.07259605079889297,-0.6322722434997559,0.9254789352416992,0.6268283724784851,-0.16629378497600555,-0.32383593916893005,0.48801925778388977,0.019817844033241272,-0.07833251357078552,-0.5799422860145569,0.8888282775878906,0.09776902198791504,0.002137101022526622,0.012529040686786175,0.9711173176765442,-0.09800541400909424,-0.0022280195262283087,-0.010634628124535084,0.9705052971839905,0.06316233426332474,0.2698046863079071,0.19382953643798828,0.21112073957920074,-0.1069764569401741,0.2616996169090271,0.2505665421485901,0.5654290318489075,0.06382762640714645,0.44351813197135925,0.4330146610736847,0.2058223932981491,-0.13434916734695435,0.4473896026611328,0.550913393497467,0.4552166163921356,0.07845427840948105,0.46644675731658936,0.44805416464805603,0.294514000415802,-0.1435641646385193,0.4766327142715454,0.5761420130729675,0.4674651622772217,0.08938216418027878,0.5031195878982544,0.3585880398750305,0.2794443368911743,-0.15497857332229614,0.5081438422203064,0.4799583852291107,0.45559462904930115
300,0.2356690764427185,-0.3870609700679779,-0.18037128448486328,0.9968013167381287,0.24767667055130005,-0.41323038935661316,-0.17338207364082336,0.9945018291473389,0.24796362221240997,-0.4142676591873169,-0.17227379977703094,0.992382287979126,0.2476412057876587,-0.41470807790756226,-0.1728467494249344,0.9938178062438965,0.24815694987773895,-0.4093306064605713,-0.20780156552791595,0.9954035878181458,0.24851253628730774,-0.40998873114585876,-0.2089010626077652,0.9934229254722595,0.24825261533260345,-0.4113375246524811,-0.20761366188526154,0.9942659139633179,0.15082116425037384,-0.4559299051761627,-0.13588283956050873,0.990683376789093,0.152808278799057,-0.4419134557247162,-0.33179277181625366,0.9927125573158264,0.18330059945583344,-0.39554253220558167,-0.168527290225029,0.9968699812889099,0.1831786036491394,-0.39031973481178284,-0.21442192792892456,0.9972432255744934,0.09955711662769318,-0.36592674255371094,-0.01614510826766491,0.9989545941352844,-0.036020677536726,-0.32956790924072266,-0.31722959876060486,0.9988672137260437,0.14059747755527496,-0.145441472530365,0.09502484649419785,0.439338356256485,0.053337760269641876,-0.1025402769446373,-0.41110655665397644,0.9580166935920715,0.3552502691745758,-0.12529130280017853,0.10695750266313553,0.44296979904174805,0.30602866411209106,-0.07832371443510056,-0.3620413839817047,0.9504895210266113,0.4028030037879944,-0.09402380138635635,0.11821653693914413,0.43619444966316223,0.37288838624954224,-0.018220026046037674,-0.39807265996932983,0.9287813901901245,0.44638311862945557,-0.12097646296024323,0.09477803111076355,0.4451412558555603,0.41396433115005493,-0.09883103519678116,-0.39172786474227905,0.9287401437759399,0.3819082975387573,-0.12795314192771912,0.09909127652645111,0.4473786950111389,0.33826521039009094,-0.08634226769208908,-0.36598095297813416,0.8930609822273254,0.05561695620417595,-0.01582431234419346,0.07346288114786148,0.9737886786460876,-0.0562404990196228,0.014535753056406975,-0.07171807438135147,0.9731616973876953,0.25302478671073914,-0.13875797390937805,0.17093735933303833,0.20695509016513824,0.2961476445198059,-0.019893568009138107,-0.005542857572436333,0.5537636876106262,0.3931967616081238,-0.024293387308716774,0.3056774139404297,0.19512902200222015,0.4473784863948822,0.009917547926306725,0.4290827512741089,0.41362667083740234,0.4126459062099457,-0.0102328946813941,0.3173767030239105,0.2789419889450073,0.4600799083709717,0.015050933696329594,0.3785730004310608,0.426932156085968,0.49803799390792847,-0.01781681552529335,0.24123960733413696,0.2632550001144409,0.538529098033905,0.01034016627818346,0.2643369436264038,0.41608870029449463
